id,receiptNumber,dailyEntryId,createdAt,paymentMethod,sellingTotal,buyingTotal,profit
"cmjse1gjk001wjp04yn5n1cly","BETECH2025123018716","cmjs6vgt5000djr0473pa1x3i","2025-12-30T09:31:50.144Z","MPESA","12500","8300","4200"
"cmjts45qx000ijg04oo349foc","BETECH2025123153488","cmjts45qa000gjg04watgwb8n","2025-12-31T08:53:36.922Z","MPESA","52200","40010","12190"
"cmjwvv98e000bl404ugo14bpd","BETECH2026010281745","cmjwvv9860009l404l4eb9nx6","2026-01-02T13:01:58.526Z","CASH","4500","2800","1700"
"cmjts6dqd001njg04ue3mda4t","BETECH2025123173733","cmjts45qa000gjg04watgwb8n","2025-12-31T08:55:20.581Z","MPESA","300","200","100"
"cmjs6vgtf000fjr04b7hmamim","BETECH2025123013892","cmjs6vgt5000djr0473pa1x3i","2025-12-30T06:11:13.251Z","MPESA","6000","3550","2450"
"cmjs7kz3g001cjr04zvu8t85n","BETECH2025123069589","cmjs6vgt5000djr0473pa1x3i","2025-12-30T06:31:03.341Z","MPESA","1500","900","600"
"cmjsfhw1z0034jp04jsuwye9d","BETECH2025123075885","cmjs6vgt5000djr0473pa1x3i","2025-12-30T10:12:36.359Z","MPESA","56999","40450","16549"
"cmjsow7040009ie046um6ev5y","BETECH2025123060673","cmjs6vgt5000djr0473pa1x3i","2025-12-30T14:35:40.276Z","MPESA","92600","63450","29150"
"cmjwwvetb0009l504cjhqps3x","BETECH2026010208519","cmjwvv9860009l404l4eb9nx6","2026-01-02T13:30:05.376Z","MPESA","3000","2500","500"
"cmjs8reon002vjr04bbhho5m4","BETECH2025123002271","cmjs6vgt5000djr0473pa1x3i","2025-12-30T07:04:03.095Z","CASH","51000","37700","13300"
"cmjsi5u27000hl104ocn089fk","BETECH2025123044581","cmjs6vgt5000djr0473pa1x3i","2025-12-30T11:27:12.751Z","MPESA","80000","62400","17600"
"cmjtu19vt0009ie04v4u0hset","BETECH2025123199213","cmjts45qa000gjg04watgwb8n","2025-12-31T09:47:21.546Z","MPESA","70000","53700","16300"
"cmjwx3pb2000yl504pf2p0561","BETECH2026010233902","cmjwvv9860009l404l4eb9nx6","2026-01-02T13:36:32.223Z","MPESA","19500","13880","5620"
"cmjs9oudy0009js048jotk03t","BETECH2025123054991","cmjs6vgt5000djr0473pa1x3i","2025-12-30T07:30:03.094Z","MPESA","21999","14850","7149"
"cmjsaf3f30013js04kdi4jnim","BETECH2025123086191","cmjs6vgt5000djr0473pa1x3i","2025-12-30T07:50:27.855Z","MPESA","49200","39200","10000"
"cmjtw9hcf000yie04jpkh91b9","BETECH2025123177007","cmjts45qa000gjg04watgwb8n","2025-12-31T10:49:43.696Z","MPESA","5500","5000","500"
"cmjxweywm000akz040i6khl4g","BETECH2026010331515","cmjxweywc0008kz04j5e05sl8","2026-01-03T06:05:04.439Z","MPESA","200","0","200"
"cmjsdazk10009jp04nae7flpw","BETECH2025123085491","cmjs6vgt5000djr0473pa1x3i","2025-12-30T09:11:15.073Z","MPESA","13000","9880","3120"
"cmjsn4s0g0009jx04oxrim7lh","BETECH2025123017931","cmjs6vgt5000djr0473pa1x3i","2025-12-30T13:46:21.521Z","MPESA","20000","13880","6120"
"cmju2gvkd000djs0436o3lvul","BETECH2025123128517","cmjts45qa000gjg04watgwb8n","2025-12-31T13:43:26.413Z","MPESA","42000","30550","11450"
"cmjxxbgvq0015kz048vznosy9","BETECH2026010325336","cmjxweywc0008kz04j5e05sl8","2026-01-03T06:30:20.726Z","MPESA","14000","0","14000"
"cmjsdndj5000zjp0452yrci6a","BETECH2025123009298","cmjs6vgt5000djr0473pa1x3i","2025-12-30T09:20:53.057Z","MPESA","4500","2800","1700"
"cmju3rj5c001bjs04m2hm6ri6","BETECH2025123182012","cmjts45qa000gjg04watgwb8n","2025-12-31T14:19:43.153Z","MPESA","40200","25350","14850"
"cmjy1gvcv000cjz042zn4pfyd","BETECH2026010343187","cmjxweywc0008kz04j5e05sl8","2026-01-03T08:26:31.232Z","MPESA","20500","0","20500"
