id,channel,dailyEntryId,receiptNumber,sellingTotal,buyingTotal,profit,paymentMethod,createdAt
cmjs6vgtf000fjr04b7hmamim,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123013892",6000,3550,2450,MPESA,2025-12-30T06:11:13.251Z
cmjs7kz3g001cjr04zvu8t85n,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123069589",1500,900,600,MPESA,2025-12-30T06:31:03.341Z
cmjs8reon002vjr04bbhho5m4,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123002271",51000,37700,13300,CASH,2025-12-30T07:04:03.095Z
cmjs9oudy0009js048jotk03t,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123054991",21999,14850,7149,MPESA,2025-12-30T07:30:03.094Z
cmjsaf3f30013js04kdi4jnim,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123086191",49200,39200,10000,MPESA,2025-12-30T07:50:27.855Z
cmjsdazk10009jp04nae7flpw,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123085491",13000,9880,3120,MPESA,2025-12-30T09:11:15.073Z
cmjsdndj5000zjp0452yrci6a,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123009298",4500,2800,1700,MPESA,2025-12-30T09:20:53.057Z
cmjse1gjk001wjp04yn5n1cly,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123018716",12500,8300,4200,MPESA,2025-12-30T09:31:50.144Z
cmjsfhw1z0034jp04jsuwye9d,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123075885",56999,40450,16549,MPESA,2025-12-30T10:12:36.359Z
cmjsi5u27000hl104ocn089fk,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123044581",80000,62400,17600,MPESA,2025-12-30T11:27:12.751Z
cmjsn4s0g0009jx04oxrim7lh,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123017931",20000,13880,6120,MPESA,2025-12-30T13:46:21.521Z
cmjsow7040009ie046um6ev5y,support,cmjs6vgt5000djr0473pa1x3i,"BETECH2025123060673",92600,63450,29150,MPESA,2025-12-30T14:35:40.276Z
cmjts45qx000ijg04oo349foc,support,cmjts45qa000gjg04watgwb8n,"BETECH2025123153488",52200,40010,12190,MPESA,2025-12-31T08:53:36.922Z
cmjts6dqd001njg04ue3mda4t,support,cmjts45qa000gjg04watgwb8n,"BETECH2025123173733",300,200,100,MPESA,2025-12-31T08:55:20.581Z
cmjtu19vt0009ie04v4u0hset,support,cmjts45qa000gjg04watgwb8n,"BETECH2025123199213",70000,53700,16300,MPESA,2025-12-31T09:47:21.546Z
cmjtw9hcf000yie04jpkh91b9,support,cmjts45qa000gjg04watgwb8n,"BETECH2025123177007",5500,5000,500,MPESA,2025-12-31T10:49:43.696Z
cmju2gvkd000djs0436o3lvul,support,cmjts45qa000gjg04watgwb8n,"BETECH2025123128517",42000,30550,11450,MPESA,2025-12-31T13:43:26.413Z
cmju3rj5c001bjs04m2hm6ri6,support,cmjts45qa000gjg04watgwb8n,"BETECH2025123182012",40200,25350,14850,MPESA,2025-12-31T14:19:43.153Z
cmjwvv98e000bl404ugo14bpd,support,cmjwvv9860009l404l4eb9nx6,"BETECH2026010281745",4500,2800,1700,CASH,2026-01-02T13:01:58.526Z
cmjwwvetb0009l504cjhqps3x,support,cmjwvv9860009l404l4eb9nx6,"BETECH2026010208519",3000,2500,500,MPESA,2026-01-02T13:30:05.376Z
cmjwx3pb2000yl504pf2p0561,support,cmjwvv9860009l404l4eb9nx6,"BETECH2026010233902",19500,13880,5620,MPESA,2026-01-02T13:36:32.223Z
cmjxweywm000akz040i6khl4g,support,cmjxweywc0008kz04j5e05sl8,"BETECH2026010331515",200,0,200,MPESA,2026-01-03T06:05:04.439Z
cmjxxbgvq0015kz048vznosy9,support,cmjxweywc0008kz04j5e05sl8,"BETECH2026010325336",14000,0,14000,MPESA,2026-01-03T06:30:20.726Z
cmjy1gvcv000cjz042zn4pfyd,support,cmjxweywc0008kz04j5e05sl8,"BETECH2026010343187",20500,0,20500,MPESA,2026-01-03T08:26:31.232Z
cmjs6vgun000njr040qcsmaw6,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123013892",6000,0,6000,MPESA,2025-12-30T06:11:13.295Z
cmjs7kz49001gjr046eu3eo0b,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123069589",1500,0,1500,MPESA,2025-12-30T06:31:03.370Z
cmjs8repf0031jr04whz5ot77,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123002271",51000,0,51000,CASH,2025-12-30T07:04:03.124Z
cmjs9ouez000djs04fvflt8u0,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123054991",21999,0,21999,MPESA,2025-12-30T07:30:03.130Z
cmjsaf3fk0019js046cdipo1m,marketing,cmjs6vguc000ljr04b9g398ko,"BETECH2025123086191",49200,0,49200,MPESA,2025-12-30T07:50:27.872Z
