id,sku,name,sellingPrice,createdAt
cmjifbdxe000vjw04358528db,"manual-mjifbdxe-1h5osu","300W Solar Panel, 200Ah Gel Battery, 1000W Inverter, 30A Controller, 5 DC Bulbs, 10m Cable",39000,2025-12-23T10:09:51.171Z
cmjif1rzr0001jw04w0yr7dqi,"manual-mjif1rzr-41iqzd","5 DC bulbs",350,2025-12-23T10:02:22.840Z
cmjif1rzl0000jw04ioup553w,"manual-mjif1rzk-aliuqv","300W Solar Kit: 300W Panel, 10m Cable, 5 DC Bulbs, 1000W Inverter, 30A Controller, 200Ah Battery",39000,2025-12-23T10:02:22.833Z
cmjid22b00002i204l7zu0jts,"manual-mjid22az-b2225y","cable clip",150,2025-12-23T09:06:36.972Z
cmjid22as0001i204hqjkh3ga,"manual-mjid22ar-50u7pa","5pcs bulb holders",350,2025-12-23T09:06:36.964Z
cmjid22ah0000i204vhzr70a3,"manual-mjid22ag-zjnrih","5m 4.0mm Cable - 5 Red, 5 Black",1300,2025-12-23T09:06:36.953Z
cmjicv3zo0000ld048hjcrptl,"manual-mjicv3zo-uaerke","3 Bulb Holders",210,2025-12-23T09:01:12.565Z
cmji8n2iz0000kw04zu51rcgz,"manual-mji8n2iz-jhg3vb","HITHIUM 1KW BATTERY",34000,2025-12-23T07:02:58.956Z
cmji7774w0000l104trwttyxf,"manual-mji7774v-tjn389","100W Solar Full Kit: 100W Panel, 80Ah Battery, 300W Inverter, 10A Controller, 5 DC Bulbs, 10m Cable",13000,2025-12-23T06:22:38.816Z
cmjhzlzib0000k104yfqo852z,"manual-mjhzlzia-kfxq1a","jhjhhh",800,2025-12-23T02:50:11.843Z
cmjhkx9dm0000l504vb2d0snc,"manual-mjhkx9dl-4901bh","Test order 4",500,2025-12-22T19:59:03.611Z
cmjhcoujh0000jy04zjz394ld,"manual-mjhcoujg-916rh0","2 x 450W Solar Panels",21000,2025-12-22T16:08:34.205Z
cmjhcertt000oi804zw154hxd,"manual-mjhcerts-aocbbx","100Ah Yachu Battery + 24"" TV",26799,2025-12-22T16:00:44.129Z
cmjhc9i260000i804hy1gqatq,"manual-mjhc9i25-h1vr3y","250W Solar Kit",27500,2025-12-22T15:56:38.190Z
cmjhc7pje001bjp049kow19ko,"manual-mjhc7pjd-nkibpl","600W Inverter",2500,2025-12-22T15:55:14.570Z
cmjhc424w0000jp0490d7580b,"manual-mjhc424w-ge3y8b","1kVA Hero EE Powerstation Kit",37499,2025-12-22T15:52:24.273Z
cmjhbwm4p000okw042fw9tamo,"manual-mjhbwm4o-5nuut8","150w kit",19999,2025-12-22T15:46:36.937Z
cmjhbuvck0000kw04gd5czpnk,"manual-mjhbuvck-su8p1q","450W Solar Panel, 1.5kVA Inverter, 100Ah Lithium Battery, 1.5mm Twin Cable Roll, Roof Rail",53500,2025-12-22T15:45:15.573Z
cmjhbo419002nji04vpzkbfvf,"manual-mjhbo419-4hi2lz","150VA Inverter + 4 Bulbs",2080,2025-12-22T15:40:00.238Z
cmjhbl80r001zji044ei8eix5,"manual-mjhbl80r-eud0rk","80Ah Battery + 5 Bulbs",7850,2025-12-22T15:37:45.436Z
cmjhbgxn9000oji04mgvkeotf,"manual-mjhbgxn9-dnqill","100W Solar Kit + 22"" TV",19500,2025-12-22T15:34:25.366Z
cmjhbeibv0000ji04fglswkh0,"manual-mjhbeibv-jn3gwe","100w kit and 5pcs bulb holders",13709,2025-12-22T15:32:32.204Z
cmjhb5ekr001zk104mt57cksk,"manual-mjhb5ekq-etanem","515W Solar Panel",10000,2025-12-22T15:25:27.435Z
cmjhb2vqz001bk1040bp6dge8,"manual-mjhb2vqy-aw1qeb","1kva Hero Ee lithium powerstation kit",44400,2025-12-22T15:23:29.723Z
cmjh9z81j0000k104qnki5rqy,"manual-mjh9z81j-j8ijwr","150W Solar Kit: 150W Panel, 100Ah Battery, 10m Cable, 5 DC Bulbs, 20A Controller",20000,2025-12-22T14:52:39.416Z
cmjh7v78p0011jp04ate7xdbf,"manual-mjh7v78p-zbszg5","150W Solar Panel, 100Ah Battery, 600W Inverter, 30A Controller, 5 DC Bulbs, 10m Cable",20000,2025-12-22T13:53:32.522Z
cmjh76ihy0001jp0460zhtqju,"manual-mjh76ihx-7oga26","20m Cable",400,2025-12-22T13:34:20.710Z
cmjh76iho0000jp04u826uhs2,"manual-mjh76ihn-19h6jr","Photo Control",600,2025-12-22T13:34:20.700Z
cmjh4u50e000xjz04b9zh5sul,"manual-mjh4u50e-1m1uqv","100W Flood Lights",3500,2025-12-22T12:28:44.127Z
cmjh4u507000wjz049h1tnhhd,"manual-mjh4u507-mj3mna","40m Cable",800,2025-12-22T12:28:44.120Z
cmjh4u4zu000vjz0417znerei,"manual-mjh4u4zt-vhb4tj","250W Solar Full Kit: 250W Panel, 20A Controller, 100Ah Battery, 10m Cable, 600W Inverter",27500,2025-12-22T12:28:44.106Z
cmjh0y4c50001jz043aortzpu,"manual-mjh0y4c5-dcxzmp","300W Floodlight Set (2 pcs)",11600,2025-12-22T10:39:51.414Z
